points_count,threads_count,nanoseconds
1000000000,11,769137873
1000000000,11,768740740
1000000000,11,764817744
1000000000,11,770540408
1000000000,11,768531345
1000000000,11,767922698
1000000000,12,711954655
1000000000,12,711475910
1000000000,12,709380206
1000000000,12,728412312
1000000000,12,722021758
1000000000,12,729032487
1000000000,12,711967673
1000000000,12,724102049
1000000000,12,712299381
1000000000,12,711655528
